video_tags_id,tag_name,trending_videos_id
690,Reinaldo Azevedo,36
691,Política,36
692,Economia,36
693,mohamad,37
694,mohamed,37
695,masterchef,37
696,comida,37
697,gastronomia,37
698,receita,37
699,receitas,37
700,morramed,37
701,morramad,37
702,mohindi,37
703,hindi,37
704,como preparar,37
705,como temperar,37
706,assado,37
707,forno,37
708,como assar,37
709,temperado,37
710,molho,37
711,natal,37
712,natalino,37
713,natalina,37
714,ceia,37
715,cadápio de natal,37
716,almoço de natal simples e gostoso,37
717,almoço,37
718,jantar,37
719,peru,37
720,temperar,37
721,culinaria,37
722,comidas,37
723,sadia,37
724,recheado,37
725,farofa,37
726,maionese,37
727,batatas,37
728,salada,37
729,leite,37
730,caseiro,37
731,temperada,37
732,fria,37
733,cenoura,37
734,como fazer,37
735,como faz,37
736,como se faz,37
737,descongelar,37
738,tempero,37
739,temperando,37
740,assar,37
741,ave,37
742,suculento,37
743,coxa,37
744,vinho,37
745,manteiga,37
746,bacon,37
747,os donos da bola,38
748,neto,38
749,futebol,38
750,band,38
751,band tv,38
752,velloso,38
753,veloso,38
754,corinthians,38
755,palmeiras,38
756,santos,38
757,são paulo,38
758,cruzeiro,38
759,atlético-mg,38
760,flamengo,38
761,fluminense,38
762,vasco,38
763,botafogo,38
764,grêmio,38
765,inter,38
766,#spfc,39
767,#tricolor,39
768,#foraleco,39
769,#saopaulo,39
770,#morumbi,39
771,#blogdobarolo,39
772,#barolo,39
773,#futebol,39
774,#tricolordomorumbi,39
775,porta dos fundos,40
776,kibe loco,40
777,fabio porchat,40
778,gregorio duviver,40
779,ian sbf,40
780,antonio tabet,40
781,joão vicente de castro,40
782,comedia,40
783,humor,40
784,engraçado,40
785,funny,40
786,comedy,40
787,risos,40
788,risadas,40
789,hilario,40
790,bizarro,40
791,parodia,40
792,satira,40
793,cotidiano,40
794,o limite do humor,40
795,star wars,40
796,lançamento,40
797,cinema,40
798,os últimos skywalker,40
799,luke,40
800,léa,40
801,princesa,40
802,guerra nas entrelas,40
803,novela,40
804,gravação,40
805,plágio,40
806,cópia,40
807,trailer,40
808,filme,40
809,george lucas,40
810,saga,40
811,darth vader,40
812,stormtrooper,40
813,ciência,41
814,explicação,41
815,curiosidade,41
816,Nerdologia,41
817,Atila,41
818,Attack,41
819,on,41
820,Titan,41
821,Shingeki,41
822,no,41
823,Kyojin,41
824,aparelho,41
825,dispositivo,41
826,deslocamento,41
827,vertical,41
828,tridimensional,41
829,titã,41
830,gigante,41
831,corinthians,42
832,palmeiras,42
833,são paulo,42
834,santos,42
835,flamengo,42
836,futebol,42
837,campeonato brasileiro,42
838,vasco,42
839,botafogo,42
840,fluminense,42
841,csa,42
842,avaí,42
843,chapecoense,42
844,grêmio,42
845,internacional,42
846,ceará,42
847,fortaleza,42
848,cruzeiro,42
849,atlético-mg,42
850,athetico-pr,42
851,denilson,42
852,renata fan,42
853,band,42
854,band tv,42
855,jogo aberto,42
856,ronaldo giovanelli,42
857,VIVENDO MUNDO AFORA,43
858,VIVENDO,43
859,VIAJANDO,43
860,MUNDO AFORA,43
861,MUNDO A FORA,43
862,VIAGEM,43
863,VIAJAR,43
864,VMA,43
865,VOLTA AO MUNDO,43
866,MÉXICO,43
867,TROCAMOS DE CASA,43
868,Flamengo,44
869,Fla,44
870,Mengo,44
871,Mengão,44
872,Fla Notícias,44
873,Notícias do Flamengo,44
874,Ultimas Notícias do Flamengo,44
875,Flamengo ao vivo,44
876,Fox Sports,44
877,Globo Esporte,44
878,Treino Do Flamengo,44
879,Flamengo contrata Gustavo Henrique,44
880,Gustavo Henrique,44
881,Gustavo Henrique Flamengo,44
882,Flamengo contrata Zagueiro,44
883,Flamengo acerta contratação de Gustavo Henrique,44
884,Diego Costa,44
885,Diego Costa Flamengo,44
886,Flamengo nega diego costa,44
887,Diego Costa no Flamengo,44
888,Reforços do Flamengo,44
889,Gabigol,44
890,Gabigol Flamengo,44
891,Gabigol fica no flamengo,44
892,Ronaldo header,45
893,cristiano header,45
894,ronaldo jump,45
895,ronaldo head,45
896,Ronaldo,45
897,Serie A,45
898,Higuain,45
899,Dybala,45
900,highlights,45
901,Insigne,45
902,Juventus,45
903,AC Milan,45
904,Inter Milan,45
905,Napoli,45
906,Roma,45
907,CR7,45
908,Cristiano Ronaldo,45
909,goals,45
910,full highlights,45
911,watch,45
912,stream,45
913,partita,45
914,migliori gol,45
915,migliori in campo,45
916,migliori al mondo,45
917,gol del mese,45
918,federcalcio,45
919,calcio,45
920,Italia,45
921,lukaku,45
922,de ligt,45
923,balotelli,45
924,sp:ty=high,45
925,sp:dt=2019-12-18T16:55:00Z,45
926,sp:st=soccer,45
927,sp:li=seri,45
928,sp:ti:home=SMP,45
929,sp:ti:away=JUV,45
930,sp:vl=en,45
931,malena0202,46
932,malena,46
933,loiranoob,46
934,loira,46
935,noob,46
936,games,46
937,game,46
938,jogo,46
939,jogos,46
940,gamer,46
941,menina,46
942,garota,46
943,mulher,46
944,girl,46
945,video,46
946,engraçado,46
947,divertido,46
948,para,46
949,rir,46
950,reação,46
951,walkthrough,46
952,playthrough,46
953,português,46
954,portugues,46
955,brasil,46
956,br-pt,46
957,br,46
958,pt,46
959,humor,46
960,comédia,46
961,risada,46
962,comida cara,46
963,comida barata,46
964,comida cara vs comida barata malena,46
965,comida cara vs barata,46
966,desafio,46
967,De Placa,47
968,Debate futebol,47
969,Esporte Interativo,47
970,flamengo mundial,47
971,flamengo final mundial 2019,47
972,flamengo liverpool final mundial,47
973,flamengo x liverpool 2019,47
974,liverpool final mundial,47
975,gustavo henrique flamengo,47
976,contratação gustavo henrique flamengo,47
977,flamengo fecha gustavo henrique,47
978,gustavo henrique novo zagueiro flamengo,47
979,gustavo henrique reforço flamengo 2020,47
980,apresentação abel braga vasco,47
981,melhores companheiros neymar,47
982,jurgen klopp jorge jesus,47
983,reencontro flamengo liverpool,47
984,noticias de hoje,48
985,noticias futebol brasileiro hoje,48
986,noticias futebol europeu hoje,48
987,noticias futebol agora,48
988,noticias futebol ao vivo,48
989,noticias,48
990,futebol,48
991,mercado da bola tode,48
992,mercado da bola hoje,48
993,irmãos neto,49
994,familia neto,49
995,neto,49
996,Felipe,49
997,Luccas,49
998,Felipe Neto,49
999,Luccas Neto,49
1000,Casa,49
1001,felipe e lucas,49
1002,bruno,49
1003,familia,49
1004,engraçado,49
1005,humor,49
1006,amizade,49
1007,Jenga,49
1008,Bruno Correa,49
1009,Bruna Gomes,49
1010,Desafio,49
1011,Brincadeira,49
1012,Matheus Marinho,49
1013,Jenga Gigante,49
1014,rezende,50
1015,rezendeevil,50
1016,vosso,50
1017,canal,50
1018,vossocanal,50
1019,junior,50
1020,manella,50
1021,juniormanella,50
1022,juninho,50
1023,manu,50
1024,irma,50
1025,do,50
1026,trollagem,50
1027,trollando,50
1028,raffa souza,50
1029,junior manella namorada,50
1030,juninho namorada,50
1031,raffa souza e juninho manella,50
1032,desafio do beijo,50
1033,sabor do beijo,50
1034,juninho e raffa sabor do beijo,50
1035,me poupe,51
1036,mepoupenaweb,51
1037,finanças pessoais,51
1038,educação financeira,51
1039,canal de finanças,51
1040,nathalia arcuri,51
1041,como ganhar dinheiro na internet,51
1042,finanças para mulheres,51
1043,nath arcuri,51
1044,desafiodos100reais,51
1045,presentes de Natal,51
1046,como gastar menos no Natal,51
1047,como juntar dinheiro,51
1048,como economizar,51
1049,presentes com 100 reais,51
1050,liquigás,51
1051,promoção liquigás,51
1052,como gastar pouco,51
1053,Natal,51
1054,compras de Natal,51
1055,vlog,52
1056,beijos,52
1057,beijo,52
1058,magreg,52
1059,maria,52
1060,venture,52
1061,gregory,52
1062,kessey,52
1063,rezende,52
1064,virginia,52
1065,fonsceca,52
1066,casal,52
1067,namorados,52
1068,namorada,52
1069,namorado,52
1070,desafio,53
1071,challenge,53
1072,burger,53
1073,burguer,53
1074,hamburguer,53
1075,comer,53
1076,eating,53
1077,food,53
1078,comida,53
1079,matt stonie,53
1080,competição,53
1081,sanduíche,53
1082,mcdonalds,53
1083,subway,53
1084,rodízio,53
1085,sliders,53
1086,julio,53
1087,casal,53
1088,nascimento,53
1089,[none],54
1090,luxemburgo palmeiras,55
1091,luxemburgo,55
1092,palmeiras,55
1093,luxemburgo indicação,55
1094,jorge nicola,55
1095,canal do nicola,55
1096,nicola,55
1097,gustavo henrique,55
1098,gustavo henrique flamengo,55
1099,gustavo henrique palmeiras,55
1100,gustavo henrique corinthians,55
1101,gustavo henrique empresário,55
1102,flamengo,55
1103,reforço,55
1104,gustavo henrique reforço,55
1105,gustavo henrique segundo reforço,55
1106,jean,55
1107,jean são paulo,55
1108,jean dispensa,55
1109,jean multa,55
1110,jean multa são paulo,55
1111,são paulo multado jean,55
1112,freestyle,56
1113,batalha de rima,56
1114,batalha de rap,56
1115,batalha de sangue,56
1116,batalha da aldeia,56
1117,bda,56
1118,tavin,56
1119,mike,56
1120,salvador,56
1121,nacional,56
1122,duelo de mcs,56
1123,batalha de mcs,56
1124,krawk,56
1125,guinho,56
1126,krawk x guinho,56
1127,jhonny,56
1128,desafia jurados,56
1129,rimas compilation,56
1130,rimas hd,56
1131,jaya luuck,56
1132,Neagle,57
1133,Neox,57
1134,Eagle,57
1135,Vlogs,57
1136,NeagleHouse,57
1137,Orlando,57
1138,área secreta,58
1139,experimento,58
1140,area secreta,58
1141,rea secreta,58
1142,dinheiro,58
1143,dólar,58
1144,euro,58
1145,dolares,58
1146,reais,58
1147,euros,58
1148,iphone,58
1149,galaxy,58
1150,android,58
1151,celular,58
1152,bubarim,59
1153,bruno miranda,59
1154,vlog,59
1155,humor,59
1156,engraçado,59
1157,divertido,59
1158,esquete,59
1159,2019,59
1160,ator,59
1161,leroy merlin,59
1162,matheus ilt,59
1163,transformação,59
1164,reforma,59
1165,reforma barata,59
1166,diy,59
1167,do it yourself,59
1168,industrial,59
1169,espelho oval,59
1170,box,59
1171,dandy,59
1172,desert,59
1173,tendência 2020,59
1174,plantas,59
1175,cia barbixas de humor,60
1176,humor,60
1177,comédia,60
1178,barbixas,60
1179,engraçado,60
1180,funny,60
1181,comedy,60
1182,anderson bizzocchi,60
1183,daniel nascimento,60
1184,elidio sanna,60
1185,standup,60
1186,stand-up,60
1187,jogador:Anderson_Bizzocchi,60
1188,jogador:Daniel_Nascimento,60
1189,jogador:Elidio_Sanna,60
1190,jogador:Sheila_Friedhofer,60
1191,mc:Allan_Benatti,60
1192,músico:Andrés_Giraldo,60
1193,jogo:Dicionário,60
1194,dia:24_10_19,60
1195,upload:19_12_19,60
1196,freiras,60
1197,convento,60
1198,aposentos,60
1199,deus,60
1200,ana mosconi,61
1201,joao rezende,61
1202,joana,61
1203,jantar,61
1204,jantar romantico,61
1205,romance,61
1206,convidei ele pra jantar,61
1207,ana e joao,61
1208,adr,61
1209,ana e joao rezende,61
1210,jantar amigos,61
1211,vlog,61
1212,convite,61
1213,[none],62
1214,masterchef brasil,63
1215,masterchef a revanche,63
1216,participantes do masterchef 2019,63
1217,masterchef 17\/12\/2019,63
1218,masterchef brasil 2019,63
1219,masterchef 17/12/2019,63
1220,participantes masterchef 2019,63
1221,masterchefbrasil,63
1222,assistir masterchef online,63
1223,assistir tv online,63
1224,assistir band ao vivo,63
1225,masterchef ao vivo,63
1226,masterchef online,63
1227,master chef,63
1228,masterchef a revanche 2019,63
1229,quem saiu do masterchef,63
1230,eliminado masterchef 2019,63
1231,paola carosella,63
1232,erick jacquin,63
1233,henrique fogaça,63
1234,mega animação,64
1235,tips,64
1236,humor,64
1237,mega tips,64
1238,cultura pop,64
1239,divertido,64
1240,megacurioso,64
1241,engraçado,64
1242,curiosidades,64
1243,6 graus de separação,64
1244,snoopy,64
1245,snopp dog,64
1246,snop dogg,64
1247,teoria dos apertos de mão,64
1248,charlie brown,64
1249,peanuts,64
1250,will eisner,64
1251,quadrinhos,64
1252,frank miller,64
1253,spirit,64
1254,samuel l. jackson,64
1255,cinema,64
1256,história,64
1257,curioso,64
1258,pessoas ligadas apertos de mão,64
1259,rap,64
1260,hip hop,64
1261,bizarro,64
1262,realidade alternativa,64
1263,teorias bizarras,64
1264,carol,65
1265,bresolin,65
1266,carol bresolin,65
1267,vlog,65
1268,comédia,65
1269,humor,65
1270,Ujoaozinho,65
1271,Namoro,65
1272,Namorados,65
1273,Ujoaozinho e carol Bresolin,65
1274,Carol Bresolin e Ujoaozinho,65
1275,Bibi tatto,65
1276,Respondendo perguntas,65
1277,Detector de mentiras,65
1278,Tudo sobre a gente,65
1279,Casal,65
1280,Ujoaozinho namorando,65
